,speed,course,rot,collection_type,PC1,Pc2
59,6.5,56.0,12.0,1,-0.3741742142650042,-2.046446617017597
60,6.5,62.2,-7.0,1,-0.0389265432550922,-1.993540879390546
61,6.5,56.9,7.0,1,-0.2858969664412652,-2.038363827014384
62,6.5,54.0,-128.0,2,5.80642066172348,-2.022016178549711
63,6.5,54.0,-17.0,1,0.1383684945517252,-2.0571995282144973
64,6.5,57.5,-18.0,1,0.1557780841195723,-2.0290813262421703
65,6.5,54.7,3.0,1,-0.2150589298717469,-2.0552062698302844
176,7.0,53.5,-3.0,1,-0.1104931837548621,-1.9145635177575164
177,7.0,56.0,-128.0,2,5.80473675840768,-1.8569080045413968
178,7.0,58.0,-4.0,1,-0.0931576484029488,-1.878462892902152
179,7.0,54.5,12.0,1,-0.3755989278250348,-1.9092769230999136
180,7.0,52.7,-5.0,1,-0.075096381734883,-1.920590012300555
181,7.0,50.2,13.0,1,-0.3929492740201346,-1.9437810633786703
182,7.0,60.3,-9.0,1,-0.296446012546018,-1.9715291895089493
183,7.0,51.4,-17.0,1,0.137025240629222,-1.9288104994681563
184,7.0,56.7,15.0,1,-0.4287681850709372,-1.8922547584023184
185,7.0,54.0,-128.0,2,5.804884866839547,-1.872872850307472
186,7.0,50.2,13.0,1,-0.3929492740201346,-1.9437810633786703
187,7.0,49.0,-128.0,2,5.805255137919218,-1.91278496472266
188,7.0,53.9,-10.0,1,0.0131586498240757,-1.910112495432432
189,7.0,60.1,9.0,1,-0.323007293463417,-1.864036189309816
190,7.0,53.2,-17.0,1,0.1368919430405409,-1.9144421382786885
191,7.0,62.4,-7.0,1,-0.0404771489822104,-1.842801066571699
192,7.0,49.3,-7.0,1,-0.0395070387534759,-1.947370806339492
193,7.0,44.2,-17.0,1,0.1375584309839464,-1.9862839442260265
194,7.0,54.1,6.0,1,-0.2695566301969657,-1.9113915609629544
195,7.0,49.7,-12.0,1,0.0488072361782301,-1.9432792277777984
196,7.0,54.1,-10.0,1,0.0131438389808889,-1.908516010855824
197,7.0,49.0,-4.0,1,-0.0924911604595434,-1.95030469884949
260,7.5,53.7,-10.0,1,0.0116376657833311,-1.7625656517667998
261,7.5,58.7,-13.0,1,0.0642737326745092,-1.7221143717065248
262,7.5,55.4,16.0,1,-0.4478764887977704,-1.753668301789723
263,7.5,55.6,-13.0,1,0.0645033007439044,-1.7468598826439414
264,7.5,49.0,-128.0,2,5.803719343035286,-1.7636416364804208
265,7.5,48.5,-7.0,1,-0.0409835902646601,-1.8046134164036824
5067,5.8,60.3,7.0,1,-0.2839986379379367,-2.220024248751192
5068,5.8,48.0,-128.0,2,5.809015099856586,-2.278711375387072
5069,5.8,47.7,-4.0,1,-0.088708982257394,-2.318625836378813
5070,5.8,50.1,-5.0,1,-0.0712179330520196,-2.299288299577827
5103,6.3,56.8,-11.0,1,0.0327627847589871,-2.095584406729062
5104,6.3,58.0,-11.0,1,0.0326739196998664,-2.086005499269417
5105,6.3,59.4,-7.0,1,-0.0381048734969047,-2.075548994759947
5106,6.3,55.2,-20.0,1,-0.0995616506474758,-2.2190632650529243
5107,6.3,59.4,-15.0,1,0.1032453610920226,-2.074111219706382
5179,6.8,49.8,8.0,1,-0.303961437762109,-2.0057327544203027
5180,6.8,55.6,12.0,1,-0.3750660695089895,-1.960153589225468
5181,6.8,53.4,12.0,1,-0.3749031502339349,-1.9777149195681505
5182,6.8,52.7,10.0,1,-0.3395137536355492,-1.9829431718228847
5183,6.8,57.2,-12.0,1,0.0488661475122981,-1.943068387451912
5184,6.8,55.7,-4.0,1,-0.0923730057527282,-1.9564797968300336
5185,6.8,48.1,-10.0,1,0.0142024822300651,-2.016067879450945
5186,6.8,54.6,-8.0,1,-0.0216164288207372,-1.964541574474592
5187,6.8,51.7,-7.0,1,-0.0390704509181447,-1.9878703227170968
5188,6.8,50.6,-14.0,1,0.0846924639846939,-1.9953929347165693
5189,6.8,55.1,-14.0,1,0.0843592200129912,-1.9594720317428995
5190,6.8,64.8,18.0,1,-0.4817600442372773,-1.887793629991696
5191,6.8,44.6,13.0,1,-0.3919202524573321,-2.0481399628205774
5192,6.8,54.8,7.0,1,-0.2866629295181627,-1.96564091812342
5193,6.8,75.0,-128.0,2,5.803944046258509,-1.764899301060578
5194,6.8,53.4,12.0,1,-0.3749031502339349,-1.9777149195681505
5195,6.8,54.9,9.0,1,-0.322007893586988,-1.9652021195985068
5196,6.8,54.7,-12.0,1,0.049051283052133,-1.963024444659505
5197,6.8,42.9,10.0,1,-0.3387880223193967,-2.0611709160766543
5246,7.3,57.8,15.0,1,-0.4297711216388233,-1.7939880962856327
5247,7.3,55.0,12.0,1,-0.3765574318633605,-1.815799714713052
5248,7.3,43.2,3.0,1,-0.5081265142672974,-2.020699286443897
5249,7.3,53.0,7.0,1,-0.2880654268134131,-1.830865951070648
5250,7.3,46.0,-14.0,1,0.0834973184940587,-1.8829687517363027
5251,7.3,48.0,14.0,1,-0.4113766109990548,-1.8720361186577057
5252,7.3,51.6,-11.0,1,0.0300762769139808,-1.8388063492363784
5253,7.3,59.8,-16.0,1,0.1178129289614022,-1.7724518721869915
5254,7.3,52.6,-10.0,1,0.012333443374431,-1.8310036482350367
5255,7.3,47.8,-7.0,1,-0.0403174343599338,-1.8698584437187045
